superevent_id,dateobs,gcn_type,gcn_id,localization_id,trigger_cadence,pending_observation,unsuccessful_observation,successful_observation,serendipitous_observation,valid
S240919bn,2024-09-19T06:15:59,,11166.0,19069.0,"['2024-09-26', '2024-10-03', '2024-10-10', '2024-10-17', '2024-10-29', '2024-11-08']",,,"['(24676,2024-09-19T06:21:30.794)']",,False
S240923ct,2024-09-23T20:40:06,,11230.0,19209.0,"['2024-10-01', '2024-10-08', '2024-10-15', '2024-10-22', '2024-11-03', '2024-11-13']",,,"['(224968,2024-09-24T02:36:34.228)']",,False
S241006k,2024-10-06T01:53:34,,11371.0,19488.0,"['2024-10-13', '2024-10-20', '2024-10-27', '2024-11-03', '2024-11-15', '2024-11-25']",,,"['(26327,2024-10-06T02:20:20.960)']",,False
S241009em,2024-10-09T22:04:56,,11431.0,19721.0,"['2024-10-19', '2024-10-26', '2024-11-02', '2024-11-09', '2024-11-21', '2024-12-01']",,,"['(34214,2024-10-12T09:00:53.912)']",,False
S241114y,2024-11-15T12:43:58,,11702.0,20255.0,"['2024-11-22', '2024-11-29', '2024-12-06', '2024-12-13', '2024-12-25', '2025-01-04']",,,"['(224968,2024-09-24T02:36:34.228)']",,False
S241125n,2024-11-25T01:01:17,,,,,,,,,False
S250319bu,2025-03-19T06:25:36,,13342.0,23674.0,"['2025-03-27', '2025-04-04', '2025-04-10', '2025-04-17', '2025-04-30', '2025-05-08']","(25409,2025-05-09T03:36:41.023)","(25392,2025-04-03T03:04:39.231),(25393,2025-04-05T03:06:18.063)","(25392,2025-04-03T03:04:39.231),(25394,2025-04-11T03:11:20.090),(25395,2025-04-17T03:16:31.519),(25397,2025-05-01T03:29:14.366)",,False
S250712cd,2025-07-12T14:25:32,"('Initial', 'bayestar.multiorder.fits,2')",12963.0,24657.0,"['2025-07-19', '2025-07-26', '2025-08-02', '2025-08-09', '2025-08-21', '2025-08-31']",,"(None,2025-07-19T00:00:00.000),(None,2025-07-26T00:00:00.000)",,"(35508,2025-07-13T04:03:04.089)",False
S250827l,2025-08-27T01:27:58,"('Update', 'Bilby.multiorder.fits,0')",14909.0,27267.0,"['2025-09-03', '2025-09-10', '2025-09-17', '2025-09-24', '2025-10-06', '2025-10-16']",,,,"(25458, '2025-08-28T06:22:56.753')",True
S251031cq,2025-10-31T18:59:16,"('Initial', 'bayestar.multiorder.fits,2')",15823.0,29112.0,"['2025-11-07', '2025-11-14', '2025-11-21', '2025-11-28', '2025-12-10', '2025-12-20']","(25525,2025-11-08T04:44:56.096)",,,"(25502, '2025-11-01T05:12:15.041')",True
S251105aj,2025-11-05T12:59:20,"('Initial', 'bayestar.multiorder.fits,1')",15876.0,29208.0,"['2025-11-12', '2025-11-19', '2025-11-26', '2025-12-03', '2025-12-15', '2025-12-25']",,,,"(25523, '2025-11-06T01:48:19.909')",True
